year,workout_code,overall_rank,event_rank,performance_ratio,time_domain,gymnastics_skill,barbell,mono_engine,jumping,wall_walk,double_under,toes_to_bar,pull_up,chest_to_bar,muscle_up,handstand_pushup,handstand_walk,thruster,snatch,clean,deadlift,burpee,row,run,wall_ball,lunge,box_jump
2020,20.1,29711.0,35184.0,1.184207869139376,medium,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2020,20.2,29711.0,33030.0,1.1117094678738515,medium,True,True,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2020,20.3,29711.0,55235.0,1.8590757631853523,short,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False
2020,20.4,29711.0,25618.0,0.8622395745683417,long,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2020,20.5,29711.0,27672.0,0.9313722190434519,long,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
2021,21.1,13054.0,19875.0,1.5225218323885399,medium,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2021,21.2,13054.0,24554.0,1.880956028803432,long,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True
2021,21.3,13054.0,13993.0,1.071931974873602,medium,True,True,False,False,False,False,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False
2021,21.4,13054.0,14203.0,1.0880189980082733,medium,True,True,True,False,False,False,True,True,True,True,True,False,True,False,True,True,False,True,False,False,False,False
2022,22.1,19510.0,31271.0,1.6028190671450537,medium,True,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2022,22.2,19510.0,7435.0,0.38108662224500256,short,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
2022,22.3,19510.0,29444.0,1.5091747821629933,medium,True,True,False,True,False,True,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False
2023,23.1,19559.0,9904.0,0.5063653561020502,medium,True,True,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False
2023,23.2,19559.0,27428.0,1.4023211820645227,medium,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False
2023,23.3,19559.0,38961.0,1.9919730047548443,medium,True,True,False,True,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
2024,24.1,39200.0,67606.0,1.7246428571428571,medium,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
2024,24.2,39200.0,26241.0,0.6694132653061224,unknown,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
2024,24.3,39200.0,35725.0,0.9113520408163265,unknown,True,True,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False
2025,25.1,20123.0,33014.0,1.6406102469810664,unknown,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
2025,25.2,20123.0,15013.0,0.7460617204194205,medium,True,True,False,True,False,True,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False
2025,25.3,20123.0,20129.0,1.000298166277394,long,True,True,True,False,True,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False,False
2026,26.1,24387.0,32603.0,1.3369008078074385,medium,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
2026,26.2,24387.0,16352.0,0.6705211793168492,medium,True,True,False,False,False,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,True,False
2026,26.3,24387.0,33977.0,1.393242301226063,long,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False
