year,workout_number,workout_code,event_date_proxy,prep_workouts,event_buckets,event_movements,pct_workouts_touching_any_event_bucket,pct_workouts_touching_any_event_movement,avg_bucket_coverage_per_workout,avg_movement_coverage_per_workout,event_fit_score,overall_rank,event_rank,performance_vs_year_rank_pct,wall_walk,double_under,bucket_gym_inversion,bucket_double_under,box_jump,db,snatch,burpee,bucket_squat,bucket_jump,bucket_snatch,bucket_dumbbell,bucket_burpee,thruster,front_squat,chest_to_bar,bar_muscle_up,toes_to_bar,bucket_thruster,bucket_gym_pulling,pull_up,deadlift,hspu,clean,row,back_squat,bucket_deadlift_hinge,bucket_clean,bucket_row,bucket_overhead,muscle_up,wall_ball,lunge,bucket_bike
2021,1,21.1,2021-03-01,7,"double_under, gym_inversion","double_under, wall_walk",28.6,14.3,14.3,7.1,18.2,13054,19875.0,-52.3,0.0,14.3,14.3,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,2,21.2,2021-03-08,26,"burpee, dumbbell, jump, snatch, squat","box_jump, burpee, db, snatch",38.5,19.2,12.3,8.7,23.3,13054,24554.0,-88.1,,,,,7.7,3.8,19.2,3.8,26.9,7.7,19.2,3.8,3.8,,,,,,,,,,,,,,,,,,,,,
2021,3,21.3,2021-03-15,47,"gym_pulling, squat, thruster","bar_muscle_up, chest_to_bar, front_squat, thruster, toes_to_bar",36.2,17.0,15.6,3.4,21.5,13054,13993.0,-7.2,,,,,,,,,21.3,,,,,6.4,4.3,4.3,2.1,0.0,6.4,19.1,,,,,,,,,,,,,,
2021,4,21.4,2021-03-22,65,"clean, deadlift_hinge, dumbbell, gym_inversion, gym_pulling, overhead, row, squat, thruster","back_squat, bar_muscle_up, chest_to_bar, clean, db, deadlift, front_squat, hspu, pull_up, row, thruster, toes_to_bar",76.9,61.5,12.6,5.5,51.2,13054,14203.0,-8.8,,,10.8,,,10.8,,,23.1,,,10.8,,4.6,3.1,3.1,1.5,0.0,4.6,18.5,4.6,7.7,3.1,15.4,7.7,4.6,7.7,15.4,7.7,15.4,,,,
2022,1,22.1,2022-03-01,142,"dumbbell, gym_inversion, jump, snatch, squat","box_jump, db, snatch, wall_walk",52.1,30.3,12.8,8.6,32.1,19510,31271.0,-60.3,2.1,,6.3,,3.5,6.3,22.5,,25.4,3.5,22.5,6.3,,,,,,,,,,,,,,,,,,,,,,
2022,2,22.2,2022-03-08,137,"burpee, deadlift_hinge","burpee, deadlift",21.9,21.9,12.0,12.0,18.9,19510,7435.0,61.9,,,,,,,,8.0,,,,,8.0,,,,,,,,,16.1,,,,,16.1,,,,,,,
2022,3,22.3,2022-03-15,137,"double_under, gym_pulling, squat, thruster","bar_muscle_up, chest_to_bar, double_under, pull_up, thruster",32.1,13.1,9.7,3.1,17.8,19510,29444.0,-50.9,,0.0,,0.0,,,,,22.6,,,,,2.9,,4.4,0.0,,2.9,13.1,8.0,,,,,,,,,,,,,
2023,1,23.1,2023-03-01,93,"gym_pulling, row, squat","muscle_up, row, toes_to_bar, wall_ball",44.1,17.2,18.6,5.1,25.0,19559,9904.0,49.4,,,,,,,,,25.8,,,,,,,,,0.0,,17.2,,,,,12.9,,,,12.9,,0.0,7.5,,
2023,2,23.2,2023-03-08,78,"burpee, gym_pulling, squat, thruster","burpee, pull_up, thruster",42.3,20.5,13.8,7.7,25.2,19559,27428.0,-40.2,,,,,,,,9.0,25.6,,,,9.0,3.8,,,,,3.8,16.7,10.3,,,,,,,,,,,,,
2023,3,23.3,2023-03-15,70,"double_under, gym_inversion","double_under, hspu, wall_walk",17.1,15.7,8.6,5.2,13.6,19559,38961.0,-99.2,2.9,0.0,17.1,0.0,,,,,,,,,,,,,,,,,,,12.9,,,,,,,,,,,
