date,title,description,best_result_raw,best_result_display,score_type,barbell_lift,set_details,notes,rx_or_scaled,pr
12/08/2020,"30 Muscle-Ups","30 Muscle-Ups",357,"5:57","","","[{""mins"":5,""secs"":57}]","",RX,PR
02/25/2021,"Bar Muscle-Ups: Max Reps","Bar Muscle-Ups: Max Reps",15,"15","Reps","","[{""reps"":15}]","",RX,PR
02/25/2021,"Double-Unders: Max Reps","Double-Unders: Max Reps",150,"150","Reps","","[{""reps"":150}]","",RX,PR
02/25/2021,"Handstand Push-ups (Strict): Max Reps","Handstand Push-ups (Strict): Max Reps",8,"8","Reps","","[{""reps"":8}]","",RX,PR
02/25/2021,"Muscle-Ups: Max Reps","Muscle-Ups: Max Reps",12,"12","Reps","","[{""reps"":12}]","",RX,PR
02/25/2021,"Row 2000m","Row 2000m",396,"6:36","","","[{""mins"":6,""secs"":36}]","",RX,PR
02/25/2021,"Run 5k","Run 5k",1307,"21:47","","","[{""mins"":21,""secs"":47}]","",RX,PR
03/01/2021,"Snatch Deadlift + Snatch Pull","3 x 2+2 (100% of 1RM Deadlift)Superset 3 High Box Jumps2:00 Rest Between Sets",90,"90","Load","","[{""load"":90,""success"":true},{""load"":90,""success"":true},{""load"":90,""success"":true}]","",RX,
03/01/2021,"Barbell Warmup","4 Sets:5 Muscle Snatch + 5 OHS (1 sec Pause in Bottom) + 5 Snatch Balance",20,"20","Load","","[{""load"":20,""success"":true},{""load"":20,""success"":true},{""load"":20,""success"":true},{""load"":20,""success"":true}]","",RX,
03/01/2021,"Thruster/LLRC","For Time:21-15-9Thrusters (95/65)3-2-1Legless Rope Climbs",397,"6:37","","","[{""mins"":6,""secs"":37}]","unbroken thrusters",RX,
03/01/2021,"Thruster/LLRC","For Time:21-15-9Thrusters (95/65)3-2-1Legless Rope Climbs",397,"6:37","","","[{""mins"":6,""secs"":37}]","unbroken thrusters",RX,
03/01/2021,"RMU Skill Work","a. Max effort set of RMU, rest 2:00, then perform your max effort set for time.b. 3 Max Effort Sets:3 second Top of Dip Hold + 3 second Bottom of Dip HoldRest 1:30 Between sets*CHECK NOTES",12,"12","Reps","","[{""reps"":12}]","1:30 to do 12 reps after 2 min resttied my max set of RMU",RX,
03/01/2021,"Power Snatch + Light Power Snatches","3x2 Power Snatch (90-93-95% of 2RM TnG)Rest 10 seconds12 Power Snatches (95/65)2:00 Rest Between Sets",76,"76","Load","","[{""load"":72,""success"":true},{""load"":74,""success"":true},{""load"":76,""success"":true}]","these felt REAL good",RX,
